Round,Loss,Accuracy
1,0.449507585705591,0.8659876543193841
2,0.1265094095520044,0.9672222222204311
3,0.07778990156010669,0.9830864197512659
4,0.05950107580595169,0.9895061728376738
5,0.04336331611682547,0.9942592592574181
6,0.03892105588178094,0.9952469135784039
7,0.03588457249738317,0.9965432098746977
8,0.03562463270390537,0.9969753086401291
9,0.03730764255327761,0.9965432098746977
10,0.030117877600931823,0.9979012345660533
11,0.024208232462189533,0.9983333333314844
12,0.025090642582554473,0.9982098765413614
13,0.021741250856935384,0.9982098765413614
14,0.025017282297745108,0.9981481481462997
15,0.019611709060473454,0.9991975308623472
16,0.015298205028380371,0.9994444444425937
17,0.01683638966127235,0.9992592592574088
18,0.01419402319952892,0.9995061728376552
19,0.013799389303121449,0.9994444444425937
20,0.013792049396726958,0.9992592592574088
